"time","RL_result"
909,-9.79649524209975e-14
910,-9.65017960299166e-14
911,-9.5038637322152e-14
912,-9.35754782599084e-14
913,-9.21123215088061e-14
914,-9.06491705624873e-14
915,-8.91860298620168e-14
916,-8.77229048952722e-14
917,-8.6259798980584e-14
918,-8.47966957696341e-14
919,-8.33335667116108e-14
920,-8.18703851112553e-14
921,-8.04071242286832e-14
922,-7.89437564637306e-14
923,-7.7480253200104e-14
924,-7.60167349911632e-14
925,-7.45538871197001e-14
926,-7.30910970113845e-14
927,-7.16283837740723e-14
928,-7.01657728179101e-14
929,-6.87032952479083e-14
930,-6.72409872880168e-14
931,-6.57788897334995e-14
932,-6.43170473817453e-14
933,-6.28555083457629e-14
934,-6.13943231201857e-14
935,-5.99335432458769e-14
936,-5.84732194016091e-14
937,-5.7013398735786e-14
938,-5.55541212359063e-14
939,-5.40954149188789e-14
940,-5.26372896137481e-14
941,-5.11797291039127e-14
942,-4.97226814041684e-14
943,-4.82660464986746e-14
944,-4.68096626416648e-14
945,-4.5353290539834e-14
946,-4.38965949267148e-14
947,-4.24391244288911e-14
948,-4.09802903947193e-14
949,-3.95193458194341e-14
950,-3.80553708526775e-14
951,-3.65872465228359e-14
952,-3.51136548900744e-14
953,-3.36330857252517e-14
954,-3.21438590864707e-14
955,-3.06441755082403e-14
956,-2.91322011722591e-14
957,-2.76061981142438e-14
958,-2.60647099600346e-14
959,-2.45068128082526e-14
960,-2.29324378320279e-14
961,-2.1342765868089e-14
962,-1.97406834566729e-14
963,-1.81312733361377e-14
964,-1.65222896940366e-14
965,-1.49245403621948e-14
966,-1.33520685017824e-14
967,-1.20176931110521e-14
968,-1.17728899143406e-14
969,-1.15715185883332e-14
970,-1.14471508234693e-14
971,-1.14327534687468e-14
972,-1.15531084900487e-14
973,-1.181248020144e-14
974,-1.21720147091926e-14
975,-1.25303483093363e-14
976,-1.28114171521378e-14
977,-1.3023403793381e-14
978,-1.3176032239905e-14
979,-1.32794073007774e-14
980,-1.33431702278729e-14
981,-1.33759733249624e-14
982,-1.33852229948171e-14
983,-1.33770194665292e-14
984,-1.33562227708857e-14
985,-1.33265874566082e-14
986,-1.3290924770214e-14
987,-1.32512658598603e-14
988,-1.32090112036088e-14
989,-1.31650599352229e-14
990,-1.31199192162127e-14
991,-1.30738007238601e-14
992,-1.30267244786221e-14
993,-1.30093289765392e-14
994,-1.29910376742104e-14
995,-1.29721482015283e-14
996,-1.29530364118765e-14
997,-1.29341530730544e-14
998,-1.29161929449823e-14
999,-1.29014645175062e-14
1000,NA
