t,S,E,I,R,beta(t),R(t),new_infections,new_symptomatic
200.0,7888.211329737429,0.5771456389648363,2.087859706864854,92110.12366491677,5e-06,0.22560284403049047,0.08234739297296806,0.14356856690667572
201.0,7888.133199313546,0.5190598086830549,1.8777558109032595,92110.46998506688,5e-06,0.22560060950036742,0.07405993976094967,0.12911935539379477
202.0,7888.06293194211,0.4668201475140233,1.6887934526993502,92110.7814544577,5e-06,0.22559859985354436,0.06660654516972138,0.11612441480448342
203.0,7887.999736277664,0.41983821355926626,1.518845564348126,92111.06157994445,5e-06,0.2255967924575412,0.05990326705512259,0.10443736655703142
204.0,7887.942900617501,0.3775848019564873,1.3659990287777555,92111.31351555178,5e-06,0.22559516695766052,0.053874611706489495,0.0939265676508675
205.0,7887.891784886805,0.33958398045743005,1.2285331722934523,92111.54009796047,5e-06,0.2255937050477626,0.04845268358597224,0.08447362697946022
206.0,7887.8458134293,0.3054077253759107,1.1049004138880012,92111.74387843146,5e-06,0.22559239026407796,0.04357642051971386,0.07597207098903253
207.0,7887.804468523593,0.27467109785833843,0.9937088588039115,92111.92715151975,5e-06,0.22559120779977473,0.039190905884424865,0.06832614374585534
208.0,7887.76728455249,0.24702790607124478,0.893706642441547,92112.09198089901,5e-06,0.2255901443382012,0.035246750081188424,0.06144972787841911
209.0,7887.733842759142,0.22216680463101496,0.8037678472489483,92112.240222589,5e-06,0.22558918790291146,0.03169953425233595,0.05526537428632214
210.0,7887.703766530062,0.19980778579141564,0.722879833102617,92112.37354585106,5e-06,0.22558832772275977,0.028509309911560678,0.049703429301347184
211.0,7887.676717154202,0.1796990252265521,0.6501318444829305,92112.4934519761,5e-06,0.22558755411061018,0.02564014906404264,0.04470125005635625
212.0,7887.65239001641,0.16161405091430775,0.584704783414276,92112.60129114927,5e-06,0.22558685835446934,0.02305974041175821,0.04020250022743974
213.0,7887.630511146489,0.14534917656725455,0.5258619371021565,92112.69827773985,5e-06,0.2255862326187896,0.020739023298687827,0.03615651158389417
214.0,7887.6108341512045,0.13072122007686418,0.47294073323941527,92112.7855038955,5e-06,0.22558566985672446,0.018651862257053134,0.03251771643703089
215.0,7887.5931374335805,0.11756543571023896,0.4253452669188136,92112.86395186381,5e-06,0.2255851637306004,0.016774752041943446,0.029245133261253477
216.0,7887.577221700859,0.10573366095789818,0.38253960273186666,92112.93450503548,5e-06,0.22558470854064458,0.015086553284531838,0.02630190571091995
217.0,7887.562907715582,0.09509264405977624,0.34404173011576644,92112.99795791027,5e-06,0.22558429916066564,0.013568253945837072,0.023654886582033893
218.0,7887.550034278758,0.08552254455036205,0.3094181417534538,92113.05502503496,5e-06,0.2255839309803725,0.012202755372969621,0.021274264813522903
219.0,7887.538456414679,0.07691558355334546,0.2782789539563191,92113.10634904783,5e-06,0.2255835998534598,0.010974679754706583,0.01913322973963818
220.0,7887.528043737552,0.06917482921520267,0.25027351568647677,92113.15250791756,5e-06,0.225583302050894,0.00987019686790938,0.01720766895900564
221.0,7887.518678983866,0.06221310537859972,0.2250864629018379,92113.19402144788,5e-06,0.22558303421893855,0.008876868402623278,0.015475896860348191
222.0,7887.510256692102,0.055952010099873946,0.20243416868438355,92113.23135712915,5e-06,0.2255827933413941,0.007983507909015072,0.01391841047260546
223.0,7887.502682011771,0.05032103023338292,0.18206154102966324,92113.264935417,5e-06,0.22558257670553664,0.007180054465813325,0.01251766921228431
224.0,7887.495869640968,0.045256751384168105,0.16373916624918455,92113.29513444143,5e-06,0.22558238187173169,0.006457459987444495,0.011257898354270674
