"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.975(R)"
113,119,0.445303027484172,0.00855442099213697,0.433274352207294,0.45873320537428
114,120,0.432036032089639,0.00898791845422525,0.417742571653957,0.443452537470418
115,121,0.419977713160639,0.00730902031315428,0.409372291245305,0.428922276798613
116,122,0.40903748704855,0.00754108093701449,0.396480273623926,0.419515590200445
117,123,0.399130798796413,0.00632859087874391,0.386802141853933,0.405108848314607
118,124,0.390168877067304,0.00766998074597123,0.374995148457209,0.398937512128857
119,125,0.382077682045312,0.0076438880709203,0.365102040816327,0.387792696025779
120,126,0.374786083882224,0.0109438660252092,0.353857142857143,0.385726190476191
121,127,0.368232199123646,0.0104008872298463,0.346367239101717,0.377470277410832
122,128,0.362346695349618,0.00875645284474548,0.348144072769953,0.370495892018779
123,129,0.357067369496535,0.00903803251013789,0.343884540117417,0.36982224396608
124,130,0.352348411577486,0.00981792575718921,0.337731229597388,0.364191149800508
125,131,0.348132080581513,0.0126180322832308,0.328046811945117,0.367978208232446
126,132,0.344377708876538,0.00766032417637182,0.334052111410602,0.35792902066487
127,133,0.341036578216904,0.00856452628874188,0.327288644322161,0.349724862431216
128,134,0.338070709015308,0.0114203863464649,0.313454038997214,0.348802228412256
129,135,0.335438487307151,0.00999446203280974,0.321960297766749,0.350403225806452
130,136,0.333110041600859,0.0107022768270792,0.314374568071873,0.344851416724257
131,137,0.331053775458328,0.0174736430275319,0.308294842186297,0.356158583525789
132,138,0.329233230784163,0.0187290224743653,0.308747855917667,0.363100343053173
133,139,0.327625868985235,0.0171990505099106,0.307975167144222,0.351265520534861
134,140,0.326214121049073,0.0158839916926745,0.308404255319149,0.354920212765957
135,141,0.324984460193354,0.0137744575316308,0.301362559241706,0.345408767772512
136,142,0.32390811656702,0.0137176789902644,0.301221928665786,0.342404227212682
137,143,0.322958354906488,0.0141224120498901,0.305404411764706,0.341176470588235
138,144,0.322136537093786,0.0159017450756021,0.28449263502455,0.330605564648118
139,145,0.321432483444994,0.0208948467607271,0.280428832116788,0.341012773722628
140,146,0.32082133804519,0.018491094991987,0.289786585365854,0.345274390243902
141,147,0.320290542329411,0.0175912150929015,0.295701357466063,0.352149321266968
142,148,0.319838671726931,0.0216748316376323,0.281612090680101,0.344521410579345
143,149,0.319476960323051,0.0215785281296983,0.272689075630252,0.335504201680672
144,150,0.319207184272041,0.0188337251065446,0.278828125,0.338125
145,151,0.318994252420541,0.0259602017578602,0.272212543554007,0.352613240418118
146,152,0.318820943575968,0.0258042391055674,0.267054263565892,0.347093023255814
147,153,0.318697348282345,0.0238523057120082,0.276831896551724,0.346659482758621
148,154,0.318621955849157,0.0213808718976384,0.266586538461538,0.322115384615385
149,155,0.318572288814359,0.0326937797307961,0.249064171122995,0.349331550802139
150,156,0.31855150969184,0.0433612329512627,0.26264880952381,0.38422619047619
